Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Underlying Price,Years To Expiration
SPY221230C00150000,2022-01-26 12:33PM EST,150.0,291.23,285.49,288.73,0.0,-,-,20,83.07%,430.78,0.8690476190476191
SPY221230C00160000,2022-01-26 12:33PM EST,160.0,281.31,275.53,278.77,0.0,-,-,20,78.58%,430.78,0.8690476190476191
SPY221230C00190000,2022-02-22 9:47AM EST,190.0,243.1,238.34,242.6,0.0,-,1,2,52.32%,430.78,0.8690476190476191
SPY221230C00200000,2022-02-18 3:40PM EST,200.0,234.38,228.68,232.63,0.0,-,1,1,49.50%,430.78,0.8690476190476191
SPY221230C00250000,2022-02-18 2:16PM EST,250.0,186.0,180.38,183.87,0.0,-,2,1,40.16%,430.78,0.8690476190476191
SPY221230C00300000,2022-01-26 11:09AM EST,300.0,145.25,137.51,140.02,0.0,-,-,1,38.30%,430.78,0.8690476190476191
SPY221230C00325000,2022-01-31 9:42AM EST,325.0,125.25,112.39,115.22,0.0,-,1,2,32.26%,430.78,0.8690476190476191
SPY221230C00330000,2022-02-28 9:30AM EST,330.0,111.75,107.96,110.92,0.0,-,2,36,31.82%,430.78,0.8690476190476191
SPY221230C00340000,2022-02-24 2:40PM EST,340.0,94.44,99.75,102.6,0.0,-,1,9,31.12%,430.78,0.8690476190476191
SPY221230C00345000,2022-02-24 2:14PM EST,345.0,87.9,95.64,98.49,0.0,-,1,7,30.74%,430.78,0.8690476190476191
SPY221230C00350000,2022-02-28 1:33PM EST,350.0,94.88,91.48,94.26,0.0,-,2,5,30.21%,430.78,0.8690476190476191
SPY221230C00355000,2022-03-01 10:42AM EST,355.0,91.0,87.67,90.45,-1.05,-1.14%,2,3,30.02%,430.78,0.8690476190476191
SPY221230C00360000,2022-02-16 10:17AM EST,360.0,96.32,83.63,86.25,0.0,-,-,1,29.43%,430.78,0.8690476190476191
SPY221230C00365000,2022-02-24 10:57AM EST,365.0,72.0,79.72,82.34,0.0,-,1,2,29.05%,430.78,0.8690476190476191
SPY221230C00370000,2022-02-24 3:59PM EST,370.0,73.97,75.83,78.42,0.0,-,4,4,28.61%,430.78,0.8690476190476191
SPY221230C00375000,2022-02-14 9:42AM EST,375.0,82.31,72.27,74.77,0.0,-,1,2,28.35%,430.78,0.8690476190476191
SPY221230C00380000,2022-02-23 3:53PM EST,380.0,64.0,68.44,70.76,0.0,-,5,7,27.75%,430.78,0.8690476190476191
SPY221230C00385000,2022-01-21 11:41AM EST,385.0,77.81,67.99,69.7,0.0,-,1,1,29.31%,430.78,0.8690476190476191
SPY221230C00390000,2022-01-19 3:14PM EST,390.0,82.37,63.97,66.31,0.0,-,2,1,29.03%,430.78,0.8690476190476191
SPY221230C00395000,2022-02-11 10:29AM EST,395.0,73.2,57.78,60.03,0.0,-,1,0,26.65%,430.78,0.8690476190476191
SPY221230C00400000,2022-02-28 3:12PM EST,400.0,56.0,54.11,56.29,0.0,-,2,92,26.07%,430.78,0.8690476190476191
SPY221230C00405000,2022-02-25 3:15PM EST,405.0,54.81,50.69,52.84,0.0,-,1,13,25.63%,430.78,0.8690476190476191
SPY221230C00410000,2022-02-25 12:22PM EST,410.0,49.98,47.54,49.61,0.0,-,11,14,25.30%,430.78,0.8690476190476191
SPY221230C00415000,2022-02-24 3:39PM EST,415.0,41.81,44.24,46.27,0.0,-,16,13,24.83%,430.78,0.8690476190476191
SPY221230C00420000,2022-02-28 11:15AM EST,420.0,43.26,41.07,43.04,0.0,-,26,74,24.38%,430.78,0.8690476190476191
SPY221230C00425000,2022-02-28 2:24PM EST,425.0,38.92,37.94,39.84,0.0,-,3,11,23.88%,430.78,0.8690476190476191
SPY221230C00429000,2022-02-24 3:58PM EST,429.0,34.0,35.57,37.4,0.0,-,7,50,23.53%,430.78,0.8690476190476191
SPY221230C00430000,2022-03-01 11:52AM EST,430.0,35.85,35.0,36.72,-2.35,-6.15%,1,115,23.38%,430.78,0.8690476190476191
SPY221230C00431000,2022-02-28 2:50PM EST,431.0,35.82,34.46,36.22,0.0,-,4,23,23.36%,430.78,0.8690476190476191
SPY221230C00432000,2022-02-28 2:50PM EST,432.0,35.17,33.66,35.47,0.0,-,1,13,23.17%,430.78,0.8690476190476191
SPY221230C00433000,2022-03-01 11:36AM EST,433.0,34.5,33.12,34.92,0.01,+0.03%,4,25,23.10%,430.78,0.8690476190476191
SPY221230C00434000,2022-02-28 2:51PM EST,434.0,33.89,32.62,34.43,0.0,-,1,9,23.07%,430.78,0.8690476190476191
SPY221230C00435000,2022-03-01 10:52AM EST,435.0,34.06,32.14,33.87,-0.17,-0.50%,2,64,22.99%,430.78,0.8690476190476191
SPY221230C00436000,2022-02-04 11:22AM EST,436.0,41.29,31.34,33.12,0.0,-,1,1,22.79%,430.78,0.8690476190476191
SPY221230C00437000,2022-02-28 10:42AM EST,437.0,32.65,30.9,32.65,0.0,-,4,25,22.77%,430.78,0.8690476190476191
SPY221230C00438000,2022-02-25 11:48AM EST,438.0,33.18,30.25,32.03,0.0,-,1,14,22.64%,430.78,0.8690476190476191
SPY221230C00439000,2022-02-25 10:01AM EST,439.0,28.0,29.72,31.39,0.0,-,1,115,22.51%,430.78,0.8690476190476191
SPY221230C00440000,2022-02-28 1:22PM EST,440.0,31.0,29.14,30.97,0.0,-,11,204,22.51%,430.78,0.8690476190476191
SPY221230C00441000,2022-02-28 12:38PM EST,441.0,30.88,28.58,30.32,0.0,-,29,50,22.35%,430.78,0.8690476190476191
SPY221230C00442000,2022-03-01 12:16PM EST,442.0,28.78,28.2,29.72,-1.52,-5.02%,2,42,22.23%,430.78,0.8690476190476191
