S   0x401a58   0x403c16  # new normal but delete[] ; size 5
S   0x401a58   0x403c16  # new normal but delete[] ; size 5
S   0x401a58   0x403c16  # new normal but delete[] ; size 5
S   0x401a58   0x403c16  # new normal but delete[] ; size 5
S   0x401a58   0x403c16  # new normal but delete[] ; size 5
S   0x401a58   0x403c16  # new normal but delete[] ; size 5
S   0x401a58   0x403c16  # new normal but delete[] ; size 4
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 6
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 7
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 11
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 12
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 10
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 8
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 12
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 9
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 7
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 10
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 15
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 6
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 8
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 8
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 9
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 12
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 11
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 12
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 10
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 7
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 6
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 13
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 12
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 9
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 13
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 14
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 8
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 12
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 15
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 13
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 11
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 12
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 5
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 12
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 8
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 12
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 9
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 12
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 8
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 10
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 7
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 11
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 8
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 10
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 10
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 13
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 7
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 6
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 4
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 10
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 10
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 9
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 12
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 8
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 7
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 8
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 8
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 9
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 8
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 8
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 7
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 5
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 10
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 9
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 9
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 10
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 6
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 6
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 10
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 9
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 7
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 7
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 11
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 8
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 11
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 6
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 7
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 6
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 7
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 8
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 6
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 8
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 10
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 8
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 6
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 6
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 9
S   0x401bc7   0x403c4a  # new normal but delete[] ; size 7
