Анапа  	1400	1460	2:21	2:18	 - 
ABA	Абакан	3560	3570	4:35	4:59	+ 4
AER	Адлер/Сочи	1605	1670	2:36	2:33	 - 
ARH	Архангельск	1095	1095	2:01	1:55	 - 
ASF	Астрахань	1500	1540	2:25	2:21	+ 1
BAX	Барнаул	3095	3115	4:20	4:29	+ 4
CEK	Челябинск	1650	1620	2:30	2:36	+ 2
EGO	Белгород	740	670	1:35	1:23	 
GRV	Грозный	1750	1700	2:45	2:54	 - 
GOJ	Н.Новгород 	560	560	1:16	1:12	 - 
HMA	Ханты-Мансийск	2050	2035	3:00	3:14	+ 2
IGT	Магас (Назрань)	1750	1740	1:55	2:50	 - 
IJK	Ижевск	1110	1145	2:45	2:02	+ 1
IKT	Иркутск	4385	4385	5:46	6:15	+ 5
KEJ	Кемерово	3175	3175	4:25	4:30	+ 4
KGD	Калининград	1155	1155	2:04	1:54	- 1
KHV	Хабаровск	6280	6300	7:50	8:04	+ 7
KJA	Красноярск	3495	3530	4:42	5:02	+ 4
KRR	Краснодар	1430	1390	2:21	2:22	 - 
KUF	Самара	1000	1015	1:51	1:49	+ 1
KZN	Казань	870	870	1:36	1:37	 - 
LED	С.-Петербург	730	705	1:28	1:23	 - 
MCX	Махачкала	1760	1765	2:51	2:53	 - 
MMK	Мурманск	1595	1540	2:31	2:22	 - 
MQF	Магнитогорск	1540	1530	2:25	2:32	+ 2
MRV	Минводы	1500	1555	2:23	2:32	 - 
NAL	Нальчик	1610	1580	2:30	2:30	 - 
NBC	Нижнекамск	1080	1050	1:50	1:50	 - 
NJC	Нижневартовск	2440	2440	3:25	3:33	+ 2
NOZ	Новокузнецк	3310	3300	4:25	4:40	+ 4
NUX	Новый Уренгой	2480	2445	3:30	3:40	+ 2
OGZ	Владикавказ	1690	1670	2:40	2:35	 - 
OMS	Омск	2390	2440	3:21	3:33	+ 3
OVB	Новосибирск	2980	2985	4:05	4:26	+ 4
PEE	Пермь	1355	1325	2:08	2:13	+ 2
PKC	П.-Камчатский	7000	6900	8:46	8:54	+ 9
REN	Оренбург	1400	1400	2:17	2:24	+ 2
ROV	Ростов-на-Дону	1190	1225	2:04	2:04	 - 
RTW	Саратов	895	905	1:46	1:38	+ 1
SCW	Сыктывкар	1100	1070	2:00	1:57	-
SGC	Сургут	2270	2260	3:13	3:21	+ 2
SIP	Симферополь	1650	1650	2:43	2:42	 - 
SKX	Саранск	750	670	1:30	1:35	- 
SLY	Салехард	2010	2000	3:05	3:10	+ 2
STW	Ставрополь	1345	1415	2:21	2:16	 - 
SVX	Екатеринбург	1590	1625	2:30	2:35	+ 2
TJM	Тюмень	1860	1865	2:50	2:57	+ 2
TOF	Томск	3085	3085	4:12	4:22	+ 4
UFA	Уфа	1320	1330	2:08	2:16	+ 2
ULV	Ульяновск	880	855	1:35	1:40	+ 1
VOG	Волгоград	1060	1065	1:50	1:56	+ 1
VOZ	Воронеж	550	580	1:21	1:13	- 
VVO	Владивосток	6990	6960	8:34	9:13	+ 7
YKS	Якутск	5320	5285	7:00	7:05	+ 6
СНГ
AKX	Актобе	1625	1620	2:30	2:44	+ 2
ALA	Алматы	3370	3330	4:24	4:56	+ 3
BHK	Бухара	2960	2920	4:05	4:15	+ 2
CIT	Шымкент	2875	2915	4:05	4:20	+ 3
EVN	Ереван	1960	2015	2:59	3:05	+ 1
FRU	Бишкек	3150	3165	4:14	4:42	+ 3
GUW	Атырау	1690	1660	2:30	2:35	+ 2
GYD	Баку	2095	2095	3:12	3:19	+ 1
KGF	Караганда	2645	2645	3:40	3:59	+ 3
KIV	Кишинев	2175	2080	3:20	3:00	- 1
KSN	Костанай	1790	1860	2:45	2:48	+ 3
KZO	Кызылорда	2530	2505	3:40	3:45	+ 3
MSQ	Минск	725	725	1:27	1:25	 - 
OSS	Ош	3230	3260	4:15	4:40	+ 3
SCO	Актау	1810	1830	2:50	2:54	+ 2
SKD	Самарканд	2970	3010	4:05	4:15	+ 2
TAS	Ташкент	3000	3005	4:06	4:20	+ 2
TSE	Астана	2450	2440	3:22	3:52	+ 3
АМЕРИКА
HAV	Гавана	9755	9810	13:05	11:25	- 8
IAD	Вашингтон	8065	8095	10:50	9:30	- 8
JFK	Нью-Йорк	7695	7680	10:35	9:09	- 8
LAX	Лос-Анджелес	10115	9990	12:50	12:10	- 11
MIA	Майами	9540	9525	12:45	11:06	- 8
БЛИЖНИЙ И СРЕДНИЙ ВОСТОК
BEY	Бейрут	2780	2805	4:06	3:55	-
DXB	Дубай	3990	3940	5:28	5:40	+ 1
DWC	Дубай Эль-Мактум	4030	3980	5:20	5:40	+ 1
IKA	Тегеран	2640	2710	4:00	4:00	+ 0,5
TLV	Тель-Авив	3010	3060	4:17	4:14	- 1
CAI	Каир	3225	3335	4:50	4:45	- 1
АЗИЯ
BKK	Бангкок	7690	7665	9:03	10:04	+ 4
CAN	Гуанчжоу	7735	7680	9:30	10:29	+ 5
CMB	Коломбо	7010	7065	8:30	9:15	+ 2,5
DEL	Дели	4660	4725	6:12	6:35	+ 2,5
HAN	Ханой	7735	7840	9:00	10:24	+ 4
HKG	Гонконг	7950	7850	9:25	10:14	+ 5
HKT	Пхукет	7845	7945	9:17	10:06	+ 4
ICN	Сеул	7290	7045	8:30	9:34	+ 6
MLE	Мале	6970	7085	8:45	9:14	+ 2
NRT	Токио	7970	7880	9:40	10:24	+ 6
PEK	Пекин	6150	6050	7:26	8:12	+ 5
PVG	Шанхай	7325	7350	8:45	9:44	+ 5
SGN	Хошимин	8290	8400	9:45	10:45	+ 4
ULN	Улан-Батор	4805	4840	6:10	6:50	+ 5
ЕВРОПА
AGP	Малага	3920	3985	5:38	5:22	- 2
ALC	Аликанте	3560	3565	5:10	5:00	- 2
AMS	Амстердам	2280	2350	3:43	3:16	- 2
ARN	Стокгольм	1355	1370	2:25	2:07	- 2
ATH	Афины 	2885	2790	4:12	4:10	- 1
AYT	Анталья	2520	2595	3:42	3:37	 - 
BCN	Барселона	3120	3215	4:32	4:24	- 2
BEG	Белград	1950	1960	3:06	2:53	- 2
BLQ	Болонья	2360	2345	3:37	3:20	- 2
BOJ	Бургас	2465	2290	3:35	3:30	- 1
BRU	Брюссель	2420	2420	3:46	3:28	- 2
BUD	Будапешт	1850	1745	2:50	2:33	- 2
CDG	Париж	2600	2675	3:59	3:40	- 2
CPH	Копенгаген	1595	1705	2:52	2:32	- 2
DRS	Дрезден	1695	1825	2:50	2:55	- 2
DUB	Дублин	2945	2980	4:25	4:05	- 3
DUS	Дюссельдорф	2190	2270	3:25	3:12	- 2
