S   0x401a22   0x402a5c  # new normal but delete[] ; size 5
S   0x401a22   0x402a5c  # new normal but delete[] ; size 5
S   0x401a22   0x402a5c  # new normal but delete[] ; size 5
S   0x401a22   0x402a5c  # new normal but delete[] ; size 5
S   0x401a22   0x402a5c  # new normal but delete[] ; size 5
S   0x401a22   0x402a5c  # new normal but delete[] ; size 5
S   0x401a22   0x402a5c  # new normal but delete[] ; size 4
S   0x401b91   0x402a90  # new normal but delete[] ; size 6
S   0x401b91   0x402a90  # new normal but delete[] ; size 7
S   0x401b91   0x402a90  # new normal but delete[] ; size 11
S   0x401b91   0x402a90  # new normal but delete[] ; size 12
S   0x401b91   0x402a90  # new normal but delete[] ; size 10
S   0x401b91   0x402a90  # new normal but delete[] ; size 8
S   0x401b91   0x402a90  # new normal but delete[] ; size 12
S   0x401b91   0x402a90  # new normal but delete[] ; size 9
S   0x401b91   0x402a90  # new normal but delete[] ; size 7
S   0x401b91   0x402a90  # new normal but delete[] ; size 10
S   0x401b91   0x402a90  # new normal but delete[] ; size 15
S   0x401b91   0x402a90  # new normal but delete[] ; size 6
S   0x401b91   0x402a90  # new normal but delete[] ; size 8
S   0x401b91   0x402a90  # new normal but delete[] ; size 8
S   0x401b91   0x402a90  # new normal but delete[] ; size 9
S   0x401b91   0x402a90  # new normal but delete[] ; size 12
S   0x401b91   0x402a90  # new normal but delete[] ; size 11
S   0x401b91   0x402a90  # new normal but delete[] ; size 12
S   0x401b91   0x402a90  # new normal but delete[] ; size 10
S   0x401b91   0x402a90  # new normal but delete[] ; size 7
S   0x401b91   0x402a90  # new normal but delete[] ; size 6
S   0x401b91   0x402a90  # new normal but delete[] ; size 3
S   0x401b91   0x402a90  # new normal but delete[] ; size 11
S   0x401b91   0x402a90  # new normal but delete[] ; size 12
S   0x401b91   0x402a90  # new normal but delete[] ; size 9
S   0x401b91   0x402a90  # new normal but delete[] ; size 13
S   0x401b91   0x402a90  # new normal but delete[] ; size 8
S   0x401b91   0x402a90  # new normal but delete[] ; size 7
S   0x401b91   0x402a90  # new normal but delete[] ; size 8
S   0x401b91   0x402a90  # new normal but delete[] ; size 12
