Unnamed: 0,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Underlying Price,Years To Expiration
0,SPY221230P00150000,2022-02-24 2:48PM EST,150.0,1.0,1.01,1.12,0.15,+17.65%,1,52,57.36%,430.78,0.8690476190476191
1,SPY221230P00160000,2022-03-01 10:55AM EST,160.0,1.09,1.2,1.32,0.09,+9.00%,1,6,55.57%,430.78,0.8690476190476191
2,SPY221230P00180000,2022-02-22 3:49PM EST,180.0,1.39,1.64,1.76,0.0,-,6,9,52.08%,430.78,0.8690476190476191
3,SPY221230P00190000,2022-01-26 9:47AM EST,190.0,1.9,1.06,2.12,0.0,-,-,1,51.18%,430.78,0.8690476190476191
4,SPY221230P00200000,2022-03-01 11:31AM EST,200.0,2.02,2.15,2.29,0.37,+22.42%,8,53,49.04%,430.78,0.8690476190476191
5,SPY221230P00210000,2022-02-23 3:46PM EST,210.0,2.37,2.48,2.6,0.0,-,3,164,47.45%,430.78,0.8690476190476191
6,SPY221230P00220000,2022-02-22 2:29PM EST,220.0,2.64,2.79,2.93,0.0,-,8,335,45.87%,430.78,0.8690476190476191
7,SPY221230P00230000,2022-02-24 2:21PM EST,230.0,3.14,3.18,3.33,0.0,-,1,7,44.46%,430.78,0.8690476190476191
8,SPY221230P00240000,2022-02-23 1:14PM EST,240.0,3.28,3.62,3.77,0.0,-,4,16,43.07%,430.78,0.8690476190476191
9,SPY221230P00250000,2022-02-25 1:18PM EST,250.0,3.34,3.9,4.47,0.0,-,7,60,42.21%,430.78,0.8690476190476191
10,SPY221230P00260000,2022-02-28 10:16AM EST,260.0,4.18,4.45,5.08,0.0,-,1,13,40.99%,430.78,0.8690476190476191
11,SPY221230P00270000,2022-03-01 12:05PM EST,270.0,5.45,5.03,5.72,0.65,+13.54%,50,24,39.72%,430.78,0.8690476190476191
12,SPY221230P00280000,2022-02-25 11:54AM EST,280.0,4.9,5.72,6.43,0.0,-,31,53,38.48%,430.78,0.8690476190476191
13,SPY221230P00290000,2022-02-25 12:37PM EST,290.0,5.5,6.52,7.3,0.0,-,2,25,37.39%,430.78,0.8690476190476191
14,SPY221230P00300000,2022-03-01 11:32AM EST,300.0,7.55,7.46,8.0,0.95,+14.39%,3,181,35.95%,430.78,0.8690476190476191
15,SPY221230P00305000,2022-02-25 12:39PM EST,305.0,6.75,7.93,8.8,0.0,-,11,69,35.81%,430.78,0.8690476190476191
16,SPY221230P00310000,2022-02-23 3:14PM EST,310.0,9.0,8.53,9.4,0.0,-,3,15,35.35%,430.78,0.8690476190476191
17,SPY221230P00315000,2022-03-01 11:46AM EST,315.0,9.51,9.02,9.97,1.25,+15.13%,1,38,34.81%,430.78,0.8690476190476191
18,SPY221230P00320000,2022-03-01 11:54AM EST,320.0,9.79,9.71,10.3,1.61,+19.68%,5,41,33.96%,430.78,0.8690476190476191
19,SPY221230P00325000,2022-03-01 11:47AM EST,325.0,10.9,10.37,11.39,2.08,+23.58%,1,234,33.96%,430.78,0.8690476190476191
20,SPY221230P00330000,2022-02-25 2:31PM EST,330.0,9.37,11.06,12.14,0.0,-,20,375,33.51%,430.78,0.8690476190476191
21,SPY221230P00335000,2022-02-25 2:58PM EST,335.0,10.3,11.7,12.84,0.0,-,1,123,32.98%,430.78,0.8690476190476191
22,SPY221230P00340000,2022-02-25 3:54PM EST,340.0,10.71,12.47,13.66,0.0,-,22,172,32.53%,430.78,0.8690476190476191
23,SPY221230P00345000,2022-02-25 11:13AM EST,345.0,11.8,13.27,14.39,0.0,-,11,47,31.95%,430.78,0.8690476190476191
24,SPY221230P00350000,2022-03-01 11:47AM EST,350.0,14.88,14.17,15.44,0.88,+6.29%,11,270,31.64%,430.78,0.8690476190476191
25,SPY221230P00355000,2022-02-25 9:57AM EST,355.0,14.65,15.12,16.4,0.0,-,1,105,31.20%,430.78,0.8690476190476191
26,SPY221230P00360000,2022-02-28 11:00AM EST,360.0,14.54,16.06,17.35,0.0,-,5,149,30.71%,430.78,0.8690476190476191
27,SPY221230P00365000,2022-02-23 9:31AM EST,365.0,17.0,17.15,18.52,0.78,+4.81%,1,155,30.36%,430.78,0.8690476190476191
28,SPY221230P00370000,2022-02-25 12:53PM EST,370.0,15.97,18.22,19.57,0.0,-,160,192,29.87%,430.78,0.8690476190476191
29,SPY221230P00375000,2022-03-01 12:27PM EST,375.0,20.25,19.39,20.67,1.48,+7.88%,1,109,29.38%,430.78,0.8690476190476191
30,SPY221230P00380000,2022-03-01 9:33AM EST,380.0,19.2,20.57,21.91,-0.3,-1.54%,6,249,28.95%,430.78,0.8690476190476191
31,SPY221230P00385000,2022-02-24 1:58PM EST,385.0,24.7,21.92,23.37,0.0,-,4,92,28.64%,430.78,0.8690476190476191
32,SPY221230P00390000,2022-02-24 12:57PM EST,390.0,27.1,23.28,24.69,0.0,-,1,129,28.18%,430.78,0.8690476190476191
33,SPY221230P00395000,2022-02-24 3:30PM EST,395.0,25.9,24.69,26.14,0.0,-,11,434,27.76%,430.78,0.8690476190476191
34,SPY221230P00400000,2022-03-01 12:05PM EST,400.0,27.33,26.16,27.58,0.79,+2.98%,16,499,27.29%,430.78,0.8690476190476191
35,SPY221230P00405000,2022-02-24 10:11AM EST,405.0,33.39,27.74,29.23,0.0,-,1,23,26.91%,430.78,0.8690476190476191
36,SPY221230P00410000,2022-02-28 2:36PM EST,410.0,29.59,29.19,30.79,0.0,-,4,52,26.42%,430.78,0.8690476190476191
37,SPY221230P00415000,2022-02-28 11:03AM EST,415.0,28.4,30.97,32.64,0.0,-,2,77,26.07%,430.78,0.8690476190476191
38,SPY221230P00420000,2022-02-25 11:50AM EST,420.0,29.67,32.61,34.37,0.0,-,6,171,25.59%,430.78,0.8690476190476191
