"Дата","Цена","Откр.","Макс.","Мин.","Изм. %"
"26.11.2021","0,8833","0,8922","0,8924","0,8825","-0,99%"
"25.11.2021","0,8921","0,8928","0,8929","0,8904","-0,09%"
"24.11.2021","0,8929","0,8891","0,8940","0,8884","0,45%"
"23.11.2021","0,8889","0,8899","0,8908","0,8869","-0,10%"
"22.11.2021","0,8898","0,8856","0,8905","0,8856","0,46%"
"19.11.2021","0,8857","0,8795","0,8889","0,8792","0,73%"
"18.11.2021","0,8793","0,8834","0,8839","0,8791","-0,46%"
"17.11.2021","0,8834","0,8834","0,8878","0,8824","0,02%"
"16.11.2021","0,8832","0,8796","0,8842","0,8782","0,43%"
"15.11.2021","0,8794","0,8733","0,8806","0,8723","0,72%"
"12.11.2021","0,8731","0,8730","0,8747","0,8724","-0,01%"
"11.11.2021","0,8732","0,8709","0,8739","0,8704","0,26%"
"10.11.2021","0,8709","0,8626","0,8714","0,8623","0,99%"
"09.11.2021","0,8624","0,8629","0,8644","0,8614","-0,05%"
"08.11.2021","0,8628","0,8655","0,8658","0,8624","-0,19%"
"05.11.2021","0,8644","0,8655","0,8686","0,8640","-0,12%"
"04.11.2021","0,8654","0,8612","0,8674","0,8608","0,51%"
"03.11.2021","0,8610","0,8637","0,8650","0,8608","-0,29%"
"02.11.2021","0,8635","0,8615","0,8640","0,8610","0,23%"
"01.11.2021","0,8615","0,8651","0,8662","0,8613","-0,37%"
"29.10.2021","0,8647","0,8562","0,8670","0,8554","1,03%"
"28.10.2021","0,8559","0,8616","0,8634","0,8552","-0,65%"
