"Дата","Цена","Откр.","Макс.","Мин.","Изм. %"
"26.11.2021","0,8833","0,8922","0,8924","0,8825","-0,99%"
"25.11.2021","0,8921","0,8928","0,8929","0,8904","-0,09%"
"24.11.2021","0,8929","0,8891","0,8940","0,8884","0,45%"
"23.11.2021","0,8889","0,8899","0,8908","0,8869","-0,10%"
"22.11.2021","0,8898","0,8856","0,8905","0,8856","0,46%"
"19.11.2021","0,8857","0,8795","0,8889","0,8792","0,73%"
"18.11.2021","0,8793","0,8834","0,8839","0,8791","-0,46%"
"17.11.2021","0,8834","0,8834","0,8878","0,8824","0,02%"
"16.11.2021","0,8832","0,8796","0,8842","0,8782","0,43%"
"15.11.2021","0,8794","0,8733","0,8806","0,8723","0,72%"
"12.11.2021","0,8731","0,8730","0,8747","0,8724","-0,01%"
"11.11.2021","0,8732","0,8709","0,8739","0,8704","0,26%"
"10.11.2021","0,8709","0,8626","0,8714","0,8623","0,99%"
"09.11.2021","0,8624","0,8629","0,8644","0,8614","-0,05%"
"08.11.2021","0,8628","0,8655","0,8658","0,8624","-0,19%"
"05.11.2021","0,8644","0,8655","0,8686","0,8640","-0,12%"
"04.11.2021","0,8654","0,8612","0,8674","0,8608","0,51%"
"03.11.2021","0,8610","0,8637","0,8650","0,8608","-0,29%"
"02.11.2021","0,8635","0,8615","0,8640","0,8610","0,23%"
"01.11.2021","0,8615","0,8651","0,8662","0,8613","-0,37%"
"29.10.2021","0,8647","0,8562","0,8670","0,8554","1,03%"
"28.10.2021","0,8559","0,8616","0,8634","0,8552","-0,65%"
"27.10.2021","0,8615","0,8623","0,8632","0,8601","-0,09%"
"26.10.2021","0,8623","0,8615","0,8632","0,8601","0,12%"
"25.10.2021","0,8613","0,8589","0,8628","0,8572","0,35%"
"22.10.2021","0,8583","0,8604","0,8605","0,8579","-0,22%"
"21.10.2021","0,8602","0,8583","0,8606","0,8571","0,24%"
"20.10.2021","0,8581","0,8596","0,8608","0,8577","-0,15%"
"19.10.2021","0,8594","0,8612","0,8615","0,8569","-0,20%"
"18.10.2021","0,8611","0,8623","0,8643","0,8603","-0,09%"
"15.10.2021","0,8619","0,8622","0,8630","0,8605","-0,03%"
"14.10.2021","0,8622","0,8626","0,8633","0,8602","-0,03%"
"13.10.2021","0,8625","0,8674","0,8676","0,8622","-0,54%"
"12.10.2021","0,8672","0,8655","0,8677","0,8643","0,18%"
"11.10.2021","0,8656","0,8637","0,8659","0,8630","0,16%"
"08.10.2021","0,8642","0,8658","0,8665","0,8632","-0,15%"
"07.10.2021","0,8655","0,8654","0,8660","0,8641","0,05%"
"06.10.2021","0,8651","0,8619","0,8674","0,8616","0,35%"
"05.10.2021","0,8621","0,8604","0,8636","0,8603","0,21%"
"04.10.2021","0,8603","0,8626","0,8630","0,8590","-0,22%"
"01.10.2021","0,8622","0,8634","0,8649","0,8615","-0,12%"
"30.09.2021","0,8632","0,8623","0,8649","0,8612","0,13%"
"29.09.2021","0,8621","0,8559","0,8629","0,8554","0,74%"
"28.09.2021","0,8558","0,8550","0,8571","0,8544","0,11%"
"27.09.2021","0,8549","0,8529","0,8558","0,8526","0,18%"
"24.09.2021","0,8534","0,8519","0,8547","0,8512","0,19%"
"23.09.2021","0,8518","0,8558","0,8559","0,8510","-0,42%"
"22.09.2021","0,8554","0,8529","0,8559","0,8506","0,32%"
"21.09.2021","0,8527","0,8529","0,8536","0,8510","0,01%"
"20.09.2021","0,8526","0,8523","0,8547","0,8520","0,00%"
"17.09.2021","0,8526","0,8502","0,8530","0,8482","0,33%"
"16.09.2021","0,8498","0,8464","0,8510","0,8459","0,44%"
"15.09.2021","0,8461","0,8471","0,8476","0,8451","-0,11%"
"14.09.2021","0,8470","0,8466","0,8475","0,8441","0,05%"
"13.09.2021","0,8466","0,8465","0,8497","0,8461","0,04%"
"10.09.2021","0,8463","0,8456","0,8468","0,8438","0,09%"
"09.09.2021","0,8455","0,8462","0,8471","0,8444","-0,08%"
"08.09.2021","0,8462","0,8446","0,8474","0,8438","0,20%"
"07.09.2021","0,8445","0,8425","0,8448","0,8414","0,26%"
"06.09.2021","0,8423","0,8418","0,8436","0,8412","0,10%"
"03.09.2021","0,8415","0,8421","0,8428","0,8397","-0,06%"
"02.09.2021","0,8420","0,8446","0,8450","0,8419","-0,31%"
"01.09.2021","0,8446","0,8468","0,8479","0,8433","-0,25%"
"31.08.2021","0,8467","0,8476","0,8479","0,8440","-0,09%"
"30.08.2021","0,8475","0,8479","0,8487","0,8467","-0,02%"
"27.08.2021","0,8477","0,8510","0,8522","0,8472","-0,36%"
"26.08.2021","0,8508","0,8495","0,8514","0,8489","0,18%"
"25.08.2021","0,8493","0,8508","0,8529","0,8492","-0,15%"
"24.08.2021","0,8506","0,8514","0,8528","0,8500","-0,08%"
"23.08.2021","0,8513","0,8551","0,8553","0,8510","-0,41%"
"20.08.2021","0,8548","0,8565","0,8574","0,8543","-0,18%"
"19.08.2021","0,8563","0,8539","0,8572","0,8535","0,30%"
"18.08.2021","0,8537","0,8540","0,8552","0,8515","-0,02%"
"17.08.2021","0,8539","0,8492","0,8541","0,8485","0,60%"
"16.08.2021","0,8488","0,8479","0,8498","0,8474","0,12%"
"13.08.2021","0,8478","0,8526","0,8527","0,8471","-0,54%"
"12.08.2021","0,8524","0,8519","0,8530","0,8511","0,08%"
"11.08.2021","0,8517","0,8533","0,8543","0,8508","-0,16%"
"10.08.2021","0,8531","0,8519","0,8540","0,8515","0,16%"
"09.08.2021","0,8517","0,8502","0,8522","0,8497","0,19%"
"06.08.2021","0,8501","0,8450","0,8508","0,8449","0,62%"
"05.08.2021","0,8449","0,8449","0,8455","0,8433","0,02%"
"04.08.2021","0,8447","0,8429","0,8451","0,8403","0,21%"
"03.08.2021","0,8429","0,8426","0,8436","0,8407","0,06%"
"02.08.2021","0,8424","0,8429","0,8433","0,8405","0,01%"
"30.07.2021","0,8423","0,8411","0,8438","0,8396","0,15%"
"29.07.2021","0,8410","0,8443","0,8446","0,8408","-0,38%"
"28.07.2021","0,8442","0,8462","0,8494","0,8439","-0,24%"
"27.07.2021","0,8462","0,8472","0,8497","0,8445","-0,12%"
"26.07.2021","0,8472","0,8490","0,8501","0,8461","-0,25%"
"23.07.2021","0,8493","0,8497","0,8508","0,8483","-0,02%"
"22.07.2021","0,8495","0,8479","0,8505","0,8453","0,21%"
"21.07.2021","0,8477","0,8487","0,8510","0,8471","-0,12%"
"20.07.2021","0,8487","0,8474","0,8507","0,8471","0,17%"
"19.07.2021","0,8473","0,8468","0,8501","0,8457","0,06%"
"16.07.2021","0,8468","0,8464","0,8481","0,8458","0,06%"
"15.07.2021","0,8463","0,8449","0,8478","0,8438","0,19%"
"14.07.2021","0,8447","0,8492","0,8495","0,8446","-0,51%"
"13.07.2021","0,8490","0,8431","0,8495","0,8421","0,71%"
"12.07.2021","0,8430","0,8424","0,8449","0,8417","0,12%"
"09.07.2021","0,8420","0,8443","0,8457","0,8416","-0,26%"
"08.07.2021","0,8442","0,8480","0,8487","0,8426","-0,45%"
"07.07.2021","0,8480","0,8457","0,8488","0,8446","0,28%"
"06.07.2021","0,8456","0,8429","0,8470","0,8407","0,33%"
"05.07.2021","0,8428","0,8431","0,8438","0,8417","0,02%"
"02.07.2021","0,8426","0,8439","0,8470","0,8421","-0,13%"
"01.07.2021","0,8437","0,8432","0,8448","0,8414","0,05%"
"30.06.2021","0,8433","0,8406","0,8443","0,8396","0,35%"
"29.06.2021","0,8404","0,8385","0,8419","0,8381","0,24%"
"28.06.2021","0,8384","0,8378","0,8402","0,8371","0,08%"
"25.06.2021","0,8377","0,8381","0,8385","0,8350","-0,02%"
"24.06.2021","0,8379","0,8385","0,8391","0,8364","-0,06%"
"23.06.2021","0,8384","0,8376","0,8396","0,8354","0,12%"
"22.06.2021","0,8374","0,8392","0,8417","0,8366","-0,20%"
"21.06.2021","0,8391","0,8426","0,8441","0,8388","-0,45%"
"18.06.2021","0,8429","0,8397","0,8441","0,8385","0,39%"
"17.06.2021","0,8396","0,8336","0,8409","0,8328","0,71%"
"16.06.2021","0,8337","0,8246","0,8338","0,8240","1,12%"
"15.06.2021","0,8245","0,8252","0,8264","0,8231","-0,06%"
"14.06.2021","0,8250","0,8257","0,8269","0,8243","-0,10%"
"11.06.2021","0,8258","0,8217","0,8270","0,8199","0,52%"
"10.06.2021","0,8215","0,8210","0,8236","0,8200","0,07%"
"09.06.2021","0,8209","0,8215","0,8217","0,8184","-0,06%"
"08.06.2021","0,8214","0,8203","0,8221","0,8200","0,13%"
"07.06.2021","0,8203","0,8219","0,8234","0,8195","-0,18%"
"04.06.2021","0,8218","0,8245","0,8262","0,8206","-0,33%"
"03.06.2021","0,8245","0,8190","0,8253","0,8186","0,70%"
"02.06.2021","0,8188","0,8188","0,8221","0,8178","0,01%"
"01.06.2021","0,8187","0,8178","0,8189","0,8160","0,12%"
"31.05.2021","0,8177","0,8202","0,8208","0,8175","-0,28%"
"28.05.2021","0,8200","0,8201","0,8242","0,8193","0,01%"
"27.05.2021","0,8199","0,8202","0,8214","0,8186","-0,02%"
"26.05.2021","0,8201","0,8163","0,8209","0,8154","0,49%"
"25.05.2021","0,8161","0,8188","0,8189","0,8152","-0,31%"
"24.05.2021","0,8186","0,8212","0,8216","0,8176","-0,27%"
"21.05.2021","0,8208","0,8177","0,8223","0,8170","0,38%"
